sender,recipient,time,keyword_flag,subject_len,sentiment
user5@company.com,user12@company.com,2023-01-01 17:47:00,1,12,0
user16@company.com,user15@company.com,2023-01-01 08:05:00,0,7,0
user8@company.com,user16@company.com,2023-01-01 09:30:00,1,7,0
user6@company.com,user7@company.com,2023-01-01 07:38:00,0,14,0
user6@company.com,user11@company.com,2023-01-01 08:34:00,1,12,0
user6@company.com,user3@company.com,2023-01-01 17:48:00,0,14,0
user9@company.com,user5@company.com,2023-01-01 14:22:00,0,7,0
user7@company.com,user2@company.com,2023-01-01 17:34:00,0,7,0
user15@company.com,user2@company.com,2023-01-01 17:51:00,0,7,0
user4@company.com,user14@company.com,2023-01-01 18:19:00,1,12,0
user2@company.com,user1@company.com,2023-01-01 07:49:00,1,12,0
user7@company.com,user9@company.com,2023-01-01 12:58:00,0,7,0
user7@company.com,user3@company.com,2023-01-01 07:26:00,0,14,0
user1@company.com,user12@company.com,2023-01-01 10:43:00,0,14,0
user8@company.com,user4@company.com,2023-01-01 19:53:00,0,7,0
user6@company.com,user2@company.com,2023-01-01 13:32:00,0,14,0
user11@company.com,user12@company.com,2023-01-01 15:40:00,0,7,0
user20@company.com,user7@company.com,2023-01-01 15:25:00,1,12,0
user4@company.com,user9@company.com,2023-01-01 10:06:00,1,7,0
user11@company.com,user6@company.com,2023-01-01 07:25:00,1,7,0
user1@company.com,user14@company.com,2023-01-01 10:29:00,0,7,0
user3@company.com,user10@company.com,2023-01-01 17:39:00,1,7,0
user2@company.com,user4@company.com,2023-01-01 10:26:00,1,7,0
user20@company.com,user16@company.com,2023-01-01 08:45:00,0,7,0
user19@company.com,user6@company.com,2023-01-01 11:06:00,0,7,0
user11@company.com,user14@company.com,2023-01-01 17:59:00,0,7,0
user11@company.com,user6@company.com,2023-01-01 17:48:00,1,7,0
user16@company.com,user3@company.com,2023-01-01 12:01:00,0,7,0
user19@company.com,user15@company.com,2023-01-01 13:32:00,0,7,0
user17@company.com,user20@company.com,2023-01-01 18:00:00,0,7,0
user1@company.com,user5@company.com,2023-01-01 11:15:00,1,12,0
user8@company.com,user3@company.com,2023-01-01 07:08:00,1,7,0
user16@company.com,user10@company.com,2023-01-01 10:09:00,1,12,0
user2@company.com,user9@company.com,2023-01-02 18:38:00,1,12,0
user11@company.com,user5@company.com,2023-01-02 11:20:00,0,14,0
user17@company.com,user14@company.com,2023-01-02 17:52:00,1,7,0
user1@company.com,user9@company.com,2023-01-02 18:21:00,1,7,0
user8@company.com,user7@company.com,2023-01-02 15:03:00,0,7,0
user8@company.com,user14@company.com,2023-01-02 15:20:00,0,7,0
user15@company.com,user1@company.com,2023-01-02 08:55:00,1,12,0
user3@company.com,user8@company.com,2023-01-02 07:40:00,0,7,0
user7@company.com,user5@company.com,2023-01-02 08:11:00,0,7,0
user18@company.com,user7@company.com,2023-01-02 10:32:00,0,14,0
user14@company.com,user16@company.com,2023-01-02 11:10:00,0,7,0
user8@company.com,user15@company.com,2023-01-02 09:38:00,0,7,0
user10@company.com,user11@company.com,2023-01-02 16:28:00,0,7,0
user9@company.com,user17@company.com,2023-01-02 08:23:00,1,12,0
user13@company.com,user6@company.com,2023-01-02 14:28:00,1,12,0
user17@company.com,user14@company.com,2023-01-02 19:09:00,1,12,0
user1@company.com,user14@company.com,2023-01-02 13:54:00,0,14,0
